Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Date,,,,,
2024-08-12,50577.94921875,50830.69921875,50149.25,50412.6015625,163500
2024-08-13,49831.8515625,50559.25,49785.1015625,50395.3515625,148900
2024-08-14,49727.30078125,49959.25,49654.6484375,49887.1484375,137100
2024-08-16,50516.8984375,50603.3984375,49806.05078125,50133.0,130700
2024-08-19,50368.3515625,50728.25,50283.55078125,50683.55078125,115300
2024-08-20,50803.1484375,51025.6015625,50398.6015625,50417.25,144200
2024-08-21,50685.55078125,50772.44921875,50333.3515625,50666.6484375,180800
2024-08-22,50985.69921875,51080.0,50794.44921875,50894.80078125,133100
2024-08-23,50933.44921875,51117.8515625,50856.69921875,51040.05078125,88500
2024-08-26,51148.1015625,51317.8515625,51061.55078125,51100.6484375,100300
2024-08-27,51278.75,51404.69921875,50938.1015625,51214.05078125,111400
2024-08-28,51143.8515625,51260.75,51033.69921875,51208.94921875,128100
2024-08-29,51152.75,51368.94921875,50984.3984375,51103.75,143600
2024-08-30,51351.0,51466.55078125,51256.0,51437.44921875,478600
2024-09-02,51439.55078125,51579.5,51295.80078125,51579.5,150200
2024-09-03,51689.1015625,51750.1015625,51240.05078125,51479.75,127200
2024-09-04,51400.25,51503.55078125,51259.8984375,51364.6484375,159700
2024-09-05,51473.05078125,51636.75,51389.1484375,51544.25,129600
2024-09-06,50576.8515625,51380.05078125,50447.30078125,51200.3984375,186000
2024-09-09,51117.80078125,51192.75,50369.3984375,50549.25,172400
2024-09-10,51272.30078125,51366.0,50958.25,51328.30078125,119300
2024-09-11,51010.0,51420.1484375,50947.69921875,51218.55078125,145100
2024-09-12,51772.3984375,51878.1015625,51025.0,51271.0,127900
2024-09-13,51938.05078125,51994.1015625,51643.94921875,51952.55078125,152000
2024-09-16,52153.1484375,52208.69921875,51921.44921875,52038.69921875,93800
2024-09-17,52188.6484375,52284.6015625,52085.5,52249.05078125,111400
2024-09-18,52750.3984375,52954.19921875,52154.55078125,52177.1015625,205100
2024-09-19,53037.6015625,53353.30078125,52847.8984375,52929.25,164900
